homeownership,loan_purpose,annual_income,debt_to_income,loan_amount,balance,term,interest_rate
RENT,debt_consolidation,44500.0,19.85,17000,16314.84,60,20.0
MORTGAGE,debt_consolidation,61000.0,36.28,8000,7480.6,36,17.47
MORTGAGE,home_improvement,90000.0,26.21,1125,1027.72,36,18.06
RENT,debt_consolidation,85000.0,53.25,30150,27230.8,36,26.3
RENT,credit_card,105000.0,21.04,9000,7896.52,36,9.44
MORTGAGE,debt_consolidation,88272.0,35.49,11000,10379.81,60,16.02
RENT,other,44000.0,29.49,6000,5601.95,36,16.01
RENT,debt_consolidation,28000.0,7.16,5000,4759.38,36,9.92
OWN,credit_card,30000.0,31.32,10000,9613.42,60,10.41
MORTGAGE,credit_card,110000.0,31.89,37025,34264.92,36,7.96
RENT,major_purchase,185000.0,7.68,20000,17759.27,36,16.02
RENT,other,39000.0,2.43,3000,2759.47,36,11.98
MORTGAGE,home_improvement,35000.0,10.67,5000,4612.99,36,5.31
OWN,credit_card,46680.0,4.09,7000,6109.84,36,6.72
OWN,debt_consolidation,40000.0,25.77,10000,9029.52,36,9.92
RENT,debt_consolidation,100000.0,26.85,25000,23706.16,60,10.42
MORTGAGE,credit_card,275000.0,4.57,12000,10557.71,36,10.91
RENT,credit_card,200000.0,8.38,16000,14447.45,36,9.93
RENT,medical,33000.0,16.18,3000,2652.39,36,13.59
MORTGAGE,debt_consolidation,40000.0,56.86,30000,28758.99,60,19.03
MORTGAGE,other,56000.0,7.25,40000,38473.08,60,10.9
MORTGAGE,debt_consolidation,50000.0,12.67,14000,8256.52,36,10.91
RENT,debt_consolidation,75000.0,21.36,26000,22920.74,36,11.99
MORTGAGE,credit_card,58000.0,25.37,20000,18673.43,36,16.02
MORTGAGE,debt_consolidation,50615.0,14.58,30000,28886.34,60,11.98
OWN,other,55000.0,24.09,12000,11201.13,60,9.44
RENT,other,19000.0,0.0,1500,1436.5,36,18.45
OWN,debt_consolidation,50000.0,17.69,6000,5596.25,36,15.04
MORTGAGE,debt_consolidation,86000.0,29.75,25000,24579.52,60,25.81
RENT,debt_consolidation,110000.0,19.26,13000,0.0,36,9.92
RENT,credit_card,48000.0,17.25,6000,5237.0,36,6.72
MORTGAGE,debt_consolidation,55000.0,8.6,16000,14807.25,36,7.96
MORTGAGE,other,70000.0,10.97,4000,3699.22,36,7.35
RENT,medical,85000.0,34.8,4000,3643.87,36,16.02
RENT,debt_consolidation,25356.0,18.6,14000,13633.08,60,24.84
MORTGAGE,debt_consolidation,69000.0,41.1,20000,19128.86,60,17.09
MORTGAGE,debt_consolidation,60000.0,10.48,6000,5425.71,36,10.91
MORTGAGE,credit_card,55000.0,35.99,15000,14265.96,60,12.62
RENT,credit_card,63130.0,26.39,15000,14288.52,36,10.9
OWN,credit_card,35000.0,14.27,5500,4966.31,36,9.93
MORTGAGE,credit_card,50000.0,13.56,4000,3380.89,36,5.32
MORTGAGE,debt_consolidation,114000.0,20.77,35000,0.0,60,15.05
OWN,debt_consolidation,100000.0,35.32,22325,19926.87,36,19.03
RENT,debt_consolidation,51000.0,25.95,10000,9176.98,36,21.45
MORTGAGE,debt_consolidation,92000.0,29.21,19500,18187.81,36,15.04
RENT,debt_consolidation,54000.0,25.14,15000,14233.06,60,10.9
MORTGAGE,other,28000.0,69.44,32000,30150.25,60,15.05
RENT,debt_consolidation,28000.0,26.96,12000,11192.5,36,15.04
RENT,other,87000.0,9.59,20000,19480.21,60,9.92
RENT,debt_consolidation,65000.0,27.1,10000,9421.91,60,15.05
MORTGAGE,debt_consolidation,76500.0,24.82,30000,28810.83,60,9.43
MORTGAGE,credit_card,72000.0,24.23,40000,37401.02,60,10.42
OWN,credit_card,65000.0,7.03,6500,6042.62,36,11.98
MORTGAGE,home_improvement,60000.0,19.24,6000,5274.05,36,10.42
MORTGAGE,debt_consolidation,30720.0,27.77,14400,13419.16,60,16.02
OWN,home_improvement,300000.0,15.5,18700,17305.97,36,7.96
MORTGAGE,home_improvement,190000.0,13.81,30000,29297.84,60,28.72
MORTGAGE,home_improvement,188500.0,7.93,12000,11105.43,36,7.96
MORTGAGE,debt_consolidation,65000.0,21.31,30000,26248.35,36,7.97
RENT,other,72550.0,2.84,6000,5571.17,36,10.9
RENT,credit_card,30000.0,24.08,9000,8138.56,36,10.91
MORTGAGE,debt_consolidation,124500.0,24.2,33600,30339.65,36,9.93
RENT,debt_consolidation,38000.0,3.35,30000,27530.98,36,21.45
MORTGAGE,debt_consolidation,42000.0,17.14,2500,2206.45,36,12.62
RENT,credit_card,60000.0,3.12,16000,15612.5,60,12.61
MORTGAGE,debt_consolidation,110000.0,33.55,20000,19045.42,60,13.59
MORTGAGE,debt_consolidation,54000.0,19.22,4000,3693.7,36,6.07
RENT,debt_consolidation,24000.0,5.5,3600,3149.76,36,7.97
RENT,credit_card,12000.0,5.2,10000,6762.48,36,13.59
OWN,other,19250.0,27.37,3300,2883.85,36,7.35
RENT,credit_card,42000.0,25.23,20000,18605.56,36,12.61
MORTGAGE,credit_card,74106.0,38.41,7000,6468.89,36,6.72
RENT,credit_card,60000.0,19.42,10000,8798.08,36,10.91
RENT,debt_consolidation,50000.0,16.61,13000,11406.1,36,9.44
MORTGAGE,debt_consolidation,15000.0,26.48,6000,5552.72,36,7.96
OWN,debt_consolidation,104000.0,8.0,35000,0.0,36,15.04
RENT,car,83740.0,23.88,10000,9080.66,36,16.01
MORTGAGE,credit_card,120000.0,31.71,27000,25208.85,36,16.01
MORTGAGE,medical,80000.0,15.81,8000,7603.72,36,7.96
RENT,debt_consolidation,36000.0,26.73,20700,20700.0,60,26.77
OWN,other,36000.0,1.67,3000,2305.26,36,5.32
RENT,debt_consolidation,55000.0,10.34,4800,4194.73,36,7.35
MORTGAGE,small_business,75000.0,10.27,28000,26890.12,60,9.43
RENT,debt_consolidation,73000.0,5.52,15000,14026.15,36,17.47
RENT,debt_consolidation,56000.0,6.03,30000,28767.35,36,20.39
MORTGAGE,home_improvement,133000.0,12.78,25000,24087.05,60,12.61
MORTGAGE,debt_consolidation,78000.0,21.43,16000,15097.93,60,16.02
MORTGAGE,debt_consolidation,150000.0,13.89,10000,9408.15,36,12.62
RENT,debt_consolidation,54000.0,25.44,3000,2093.74,36,13.58
RENT,credit_card,88000.0,11.29,40000,0.0,36,10.42
MORTGAGE,debt_consolidation,53000.0,36.5,15000,13808.83,36,23.88
MORTGAGE,credit_card,46000.0,27.45,7000,6473.55,36,7.34
MORTGAGE,debt_consolidation,55000.0,35.36,9000,8120.69,36,9.44
RENT,debt_consolidation,65000.0,17.36,8000,7032.07,36,10.42
MORTGAGE,debt_consolidation,115800.0,26.9,21800,20677.63,36,5.31
RENT,debt_consolidation,67000.0,13.65,15000,14197.97,60,18.06
MORTGAGE,debt_consolidation,65000.0,16.76,7800,7230.6,36,9.43
RENT,home_improvement,90000.0,13.19,3000,2706.83,36,9.43
MORTGAGE,credit_card,71000.0,25.56,7200,6510.83,36,10.91
RENT,credit_card,50000.0,44.72,6000,5434.35,36,11.99
MORTGAGE,debt_consolidation,182000.0,17.27,40000,35192.46,36,10.91
RENT,debt_consolidation,60000.0,8.28,11000,10259.78,36,15.04
MORTGAGE,other,65000.0,13.05,2000,1848.23,36,6.71
MORTGAGE,home_improvement,80000.0,10.4,20000,18452.04,36,5.31
MORTGAGE,debt_consolidation,41600.0,27.64,12400,12125.84,60,16.01
MORTGAGE,car,95000.0,14.31,40000,34997.78,36,7.97
MORTGAGE,debt_consolidation,79043.0,42.5,40000,37904.12,60,9.93
RENT,debt_consolidation,95000.0,17.68,30000,26370.26,36,10.42
MORTGAGE,home_improvement,129000.0,17.19,40000,37878.29,60,9.44
RENT,credit_card,46000.0,25.06,10000,9254.54,36,7.96
MORTGAGE,other,91900.0,1.82,40000,38434.2,60,9.92
MORTGAGE,debt_consolidation,52000.0,11.05,12000,11105.43,36,7.96
RENT,credit_card,65000.0,28.97,8000,7403.61,36,7.96
RENT,other,40000.0,23.37,28000,26540.61,60,19.03
MORTGAGE,debt_consolidation,65000.0,18.85,12000,10782.62,36,6.72
MORTGAGE,other,115000.0,24.28,12000,11599.33,60,16.01
OWN,credit_card,92000.0,26.56,7000,5894.78,36,13.59
MORTGAGE,car,88000.0,18.34,11000,10316.26,36,20.39
RENT,credit_card,33000.0,27.16,10000,9628.77,60,11.98
MORTGAGE,debt_consolidation,115000.0,38.28,40000,38090.87,60,13.59
MORTGAGE,home_improvement,67600.0,17.04,35000,33287.27,60,12.62
RENT,debt_consolidation,40000.0,15.9,7550,7059.82,36,17.47
OWN,debt_consolidation,42000.0,36.09,15000,13627.07,36,14.08
MORTGAGE,debt_consolidation,107000.0,9.79,40000,37764.89,60,7.35
MORTGAGE,debt_consolidation,32000.0,39.77,11500,10900.59,60,19.03
RENT,debt_consolidation,44088.0,27.93,10000,9078.33,36,13.59
MORTGAGE,credit_card,61000.0,32.74,35000,31887.38,36,16.02
MORTGAGE,credit_card,35000.0,44.07,15000,14466.07,60,13.59
RENT,major_purchase,101000.0,17.0,16000,14848.36,36,10.41
MORTGAGE,credit_card,144000.0,11.83,28000,26960.58,60,11.98
RENT,other,60000.0,12.29,10000,9084.7,36,14.08
OWN,debt_consolidation,30000.0,19.08,15500,14384.34,36,10.41
MORTGAGE,debt_consolidation,52000.0,6.71,10000,5216.68,36,7.34
OWN,debt_consolidation,120000.0,16.0,40000,38328.35,60,7.34
RENT,debt_consolidation,95000.0,17.16,18000,16744.99,36,12.61
MORTGAGE,debt_consolidation,108000.0,23.08,16000,15415.69,60,12.61
MORTGAGE,house,110000.0,12.91,35000,0.0,60,21.45
MORTGAGE,credit_card,200000.0,22.96,19000,17874.1,60,14.08
RENT,debt_consolidation,42000.0,9.91,7200,6840.1,36,7.34
MORTGAGE,debt_consolidation,150000.0,21.92,24725,21554.0,36,6.08
RENT,debt_consolidation,75000.0,9.92,33750,32363.28,36,20.39
OWN,debt_consolidation,85000.0,30.61,30000,28164.73,36,21.45
RENT,debt_consolidation,55000.0,6.37,12000,11180.95,36,14.07
MORTGAGE,credit_card,85000.0,23.03,15000,14412.97,60,9.93
MORTGAGE,other,100000.0,5.98,17000,15937.93,60,11.99
MORTGAGE,debt_consolidation,197000.0,8.37,27000,25789.99,60,16.01
RENT,debt_consolidation,30000.0,26.12,5700,5146.89,36,9.93
RENT,credit_card,25000.0,19.44,10000,9057.25,36,11.99
MORTGAGE,debt_consolidation,36000.0,19.0,6500,6015.44,36,7.96
RENT,debt_consolidation,75000.0,9.89,15000,13564.27,36,10.91
MORTGAGE,debt_consolidation,70000.0,29.13,25000,22643.18,36,11.99
RENT,credit_card,166000.0,9.83,6000,5535.59,36,5.31
MORTGAGE,debt_consolidation,91000.0,16.63,15500,14313.1,36,6.07
RENT,debt_consolidation,54000.0,27.17,8500,7956.13,36,18.45
MORTGAGE,debt_consolidation,57000.0,11.56,5600,5072.05,36,11.99
MORTGAGE,debt_consolidation,100000.0,17.71,7200,6382.4,36,15.05
RENT,credit_card,75000.0,18.8,25000,22481.23,36,15.05
MORTGAGE,credit_card,45000.0,12.69,4000,3740.31,36,17.47
MORTGAGE,debt_consolidation,34000.0,23.01,6025,5295.98,36,10.42
MORTGAGE,debt_consolidation,77000.0,7.84,22000,20394.07,36,9.43
MORTGAGE,credit_card,65000.0,25.72,8000,7202.27,36,7.97
MORTGAGE,debt_consolidation,140000.0,32.06,35000,33663.94,60,10.9
RENT,debt_consolidation,65000.0,15.92,16000,14923.34,36,15.04
RENT,credit_card,100000.0,5.63,10000,9522.69,60,13.59
OWN,other,71000.0,2.2,5000,4663.53,36,15.04
MORTGAGE,other,65000.0,10.57,40000,37878.15,60,9.44
MORTGAGE,vacation,50000.0,11.02,4000,3725.01,36,13.58
MORTGAGE,debt_consolidation,30000.0,25.63,10000,9226.01,36,5.31
MORTGAGE,other,114000.0,19.66,21600,21064.0,60,26.77
RENT,other,50000.0,0.82,15000,13160.89,36,9.44
MORTGAGE,debt_consolidation,90000.0,7.51,5000,4634.99,36,9.43
RENT,major_purchase,75000.0,12.91,11000,10410.62,60,12.62
MORTGAGE,other,55000.0,15.54,3600,3158.61,36,9.44
MORTGAGE,major_purchase,30000.0,3.76,10000,8815.65,36,11.99
RENT,other,9000.0,18.86,5000,4539.36,36,13.59
MORTGAGE,credit_card,71000.0,29.67,20000,19257.56,60,11.98
RENT,credit_card,65000.0,13.18,10000,9537.61,36,12.61
MORTGAGE,credit_card,80000.0,34.01,15000,13173.04,36,9.93
RENT,debt_consolidation,65000.0,19.58,21000,20261.89,60,14.07
RENT,debt_consolidation,40000.0,31.02,7000,6403.22,36,19.03
MORTGAGE,home_improvement,175000.0,15.33,25000,22199.06,36,16.02
RENT,medical,33918.0,56.69,3000,2753.1,36,21.45
MORTGAGE,home_improvement,80000.0,12.77,17500,16335.04,60,9.44
MORTGAGE,debt_consolidation,17453.0,17.93,5500,5235.3,36,9.92
MORTGAGE,home_improvement,55000.0,20.55,5600,5191.19,36,9.43
MORTGAGE,other,132323.0,0.0,10000,9746.66,60,10.9
RENT,debt_consolidation,79000.0,10.97,17500,16268.64,36,11.98
RENT,debt_consolidation,54164.0,33.5,5000,4528.63,36,11.99
RENT,credit_card,142000.0,16.1,35000,33221.93,60,20.0
MORTGAGE,debt_consolidation,300000.0,14.61,24000,22421.54,60,9.93
MORTGAGE,home_improvement,110000.0,6.45,10000,9687.32,60,18.45
MORTGAGE,credit_card,67000.0,14.53,16800,16201.86,60,13.58
OWN,other,24000.0,6.0,7000,6295.98,36,7.35
MORTGAGE,other,66000.0,15.11,10000,9634.88,60,12.62
MORTGAGE,other,91000.0,15.88,10000,8849.12,36,14.08
RENT,major_purchase,68750.0,57.17,17575,16482.58,36,20.39
MORTGAGE,credit_card,104000.0,13.97,22000,21244.1,60,25.82
MORTGAGE,credit_card,55000.0,18.31,10000,0.0,36,7.97
RENT,credit_card,70000.0,0.0,16000,14064.14,36,10.42
RENT,debt_consolidation,60000.0,24.14,30000,28790.91,60,20.0
MORTGAGE,debt_consolidation,25000.0,29.67,35950,33978.58,60,17.09
MORTGAGE,home_improvement,57000.0,1.26,3500,3326.62,36,7.96
MORTGAGE,credit_card,65000.0,37.54,16800,16023.19,36,12.61
MORTGAGE,debt_consolidation,110000.0,20.75,40000,36118.63,36,9.93
MORTGAGE,debt_consolidation,89000.0,9.74,27500,25669.34,60,9.44
MORTGAGE,debt_consolidation,50000.0,10.9,4500,4164.51,36,7.96
MORTGAGE,debt_consolidation,150000.0,31.58,12175,10711.69,36,10.91
MORTGAGE,debt_consolidation,120000.0,26.13,30000,26733.24,36,18.06
RENT,credit_card,22000.0,21.28,6000,5596.25,36,15.04
MORTGAGE,debt_consolidation,69854.0,45.59,35000,33653.62,60,30.17
MORTGAGE,credit_card,59182.0,19.81,19000,16670.47,36,9.44
RENT,medical,140000.0,8.7,18000,15822.16,36,10.42
RENT,other,49000.0,38.75,9600,8954.08,36,15.05
MORTGAGE,other,33000.0,2.65,4200,3777.6,36,7.35
MORTGAGE,debt_consolidation,64874.0,37.51,21200,19367.1,36,18.06
RENT,debt_consolidation,68000.0,13.06,13000,11755.73,36,10.91
RENT,other,50000.0,8.69,7500,6630.98,36,13.59
MORTGAGE,other,110000.0,0.6,15000,13262.0,36,13.59
OWN,small_business,36000.0,46.83,40000,38257.73,60,17.09
MORTGAGE,credit_card,43611.0,21.96,20000,18570.6,36,10.9
MORTGAGE,debt_consolidation,118000.0,17.29,40000,35977.23,36,7.35
RENT,medical,90000.0,23.43,16000,14362.51,36,6.08
MORTGAGE,credit_card,86500.0,25.17,15000,14001.46,60,9.44
MORTGAGE,debt_consolidation,50000.0,4.37,10000,8976.56,36,6.08
RENT,credit_card,55000.0,4.67,16000,14972.98,60,10.91
MORTGAGE,other,80000.0,7.83,2400,1981.12,36,9.43
OWN,debt_consolidation,70000.0,10.5,20000,17953.16,36,6.08
MORTGAGE,medical,80000.0,54.26,30000,28972.24,60,15.04
RENT,credit_card,85000.0,2.06,32000,30566.33,60,16.02
MORTGAGE,credit_card,69000.0,28.74,12000,10793.17,36,7.35
MORTGAGE,debt_consolidation,82000.0,17.52,20000,18005.73,36,7.97
RENT,debt_consolidation,30000.0,31.04,16000,15430.5,60,13.59
MORTGAGE,debt_consolidation,70000.0,15.84,15500,13599.6,36,9.44
MORTGAGE,credit_card,130000.0,12.44,29825,25999.9,36,6.08
MORTGAGE,debt_consolidation,24000.0,34.22,22000,19926.0,36,11.99
RENT,credit_card,46650.0,34.09,10100,9405.77,36,13.59
MORTGAGE,debt_consolidation,225000.0,9.73,40000,37878.15,60,9.44
RENT,home_improvement,35000.0,12.83,15000,13585.88,36,11.99
RENT,debt_consolidation,100000.0,16.75,19000,16842.46,36,15.05
MORTGAGE,credit_card,325000.0,8.15,35000,32345.77,36,6.71
MORTGAGE,debt_consolidation,92000.0,11.52,7000,6489.0,36,9.43
OWN,credit_card,25000.0,61.31,16000,14938.56,36,16.01
OWN,credit_card,50000.0,37.23,12000,10590.97,36,12.62
RENT,credit_card,96000.0,24.24,32000,30460.02,36,9.92
OWN,credit_card,45000.0,19.47,6500,6189.43,36,10.41
RENT,debt_consolidation,125000.0,15.01,20250,17981.27,36,16.02
RENT,other,63000.0,10.02,4000,790.75,36,18.45
MORTGAGE,debt_consolidation,145000.0,28.93,36000,31460.48,36,7.35
MORTGAGE,credit_card,65000.0,15.98,26000,24670.98,60,10.91
RENT,major_purchase,42000.0,22.11,10000,9657.41,60,15.04
MORTGAGE,debt_consolidation,58000.0,13.14,12000,11130.16,36,9.92
RENT,vacation,53045.0,21.04,5000,4695.95,36,21.85
MORTGAGE,debt_consolidation,205000.0,13.59,18000,16138.33,36,5.31
MORTGAGE,debt_consolidation,104000.0,2.7,25000,24021.35,60,9.92
MORTGAGE,debt_consolidation,168000.0,30.87,15000,13927.93,36,10.9
RENT,debt_consolidation,65000.0,9.62,10000,9643.94,60,13.58
MORTGAGE,debt_consolidation,73000.0,32.25,20000,18872.39,60,16.02
MORTGAGE,debt_consolidation,110000.0,31.88,7800,6990.29,36,21.45
MORTGAGE,debt_consolidation,87812.0,15.66,35000,33537.3,60,7.34
MORTGAGE,debt_consolidation,112000.0,11.7,30000,28996.23,60,26.77
MORTGAGE,credit_card,60000.0,11.78,7000,6147.38,36,9.93
MORTGAGE,credit_card,94000.0,19.11,12000,10759.06,36,5.32
MORTGAGE,debt_consolidation,25000.0,47.91,17275,0.0,36,7.35
RENT,debt_consolidation,70000.0,6.93,15000,13273.71,36,14.08
RENT,debt_consolidation,87000.0,7.37,20000,18550.27,36,9.92
MORTGAGE,debt_consolidation,74000.0,39.64,23000,20952.29,36,16.02
OWN,debt_consolidation,18720.0,32.36,7000,6188.91,36,13.59
MORTGAGE,home_improvement,65000.0,36.48,20000,18156.66,36,13.59
MORTGAGE,debt_consolidation,91000.0,12.26,12000,10827.62,36,9.44
OWN,credit_card,47000.0,13.69,7800,6862.53,36,10.91
RENT,debt_consolidation,160000.0,15.08,40000,36904.08,36,5.31
MORTGAGE,debt_consolidation,100000.0,18.0,40000,38630.01,60,15.05
MORTGAGE,small_business,67000.0,31.91,10000,9703.41,60,20.39
MORTGAGE,other,57000.0,27.85,16000,15241.09,36,10.9
MORTGAGE,debt_consolidation,83500.0,30.06,11200,0.0,60,7.97
MORTGAGE,credit_card,125000.0,25.07,20000,18085.7,36,10.91
MORTGAGE,other,42000.0,38.47,10000,9613.51,60,10.42
MORTGAGE,debt_consolidation,75000.0,10.45,25000,24143.51,60,15.04
MORTGAGE,debt_consolidation,220000.0,10.72,14000,12985.2,36,9.92
RENT,credit_card,45000.0,31.44,10000,9648.51,60,14.07
MORTGAGE,debt_consolidation,65000.0,52.03,12000,11288.91,60,14.08
RENT,debt_consolidation,155000.0,6.73,9000,8343.01,36,9.43
MORTGAGE,debt_consolidation,100000.0,18.76,30000,0.0,60,10.9
RENT,debt_consolidation,30000.0,3.85,5000,4399.27,36,10.91
MORTGAGE,debt_consolidation,70000.0,15.31,24000,21543.48,36,6.07
OWN,debt_consolidation,31000.0,25.01,16000,15465.8,60,16.01
MORTGAGE,debt_consolidation,54200.0,28.65,25000,22712.0,36,14.08
OWN,debt_consolidation,48000.0,11.95,25000,22432.24,36,15.05
OWN,other,152000.0,9.79,24000,21274.69,36,15.05
OWN,debt_consolidation,85000.0,8.97,12000,11453.14,36,13.58
MORTGAGE,debt_consolidation,30000.0,24.2,16000,15305.33,60,25.82
RENT,debt_consolidation,34415.16,36.83,18000,17238.05,36,18.45
MORTGAGE,credit_card,102000.0,11.39,40000,37369.27,60,9.93
RENT,debt_consolidation,36000.0,29.47,6100,5615.58,36,23.88
RENT,credit_card,78000.0,30.13,22600,21730.63,60,30.17
RENT,debt_consolidation,55000.0,7.88,4800,4488.37,36,17.47
MORTGAGE,credit_card,119000.0,26.08,28000,26751.62,60,24.85
MORTGAGE,debt_consolidation,150000.0,15.45,8000,6826.0,36,10.91
RENT,debt_consolidation,110000.0,18.69,10000,9778.48,36,15.04
MORTGAGE,debt_consolidation,59871.0,29.17,10000,9254.63,36,7.97
RENT,debt_consolidation,85000.0,22.88,9600,9165.79,36,14.08
MORTGAGE,debt_consolidation,70000.0,16.48,4000,654.89,36,6.72
RENT,credit_card,18708.0,10.65,6000,5568.11,36,10.41
MORTGAGE,house,90000.0,26.95,15000,14606.86,60,24.84
RENT,debt_consolidation,35000.0,24.86,19200,17964.34,36,18.06
MORTGAGE,debt_consolidation,50000.0,59.68,15000,0.0,36,13.59
MORTGAGE,credit_card,53000.0,41.21,17000,16569.32,60,10.9
OWN,debt_consolidation,85000.0,11.07,25000,23119.84,36,7.34
MORTGAGE,home_improvement,70000.0,18.76,4800,4449.59,36,9.43
MORTGAGE,debt_consolidation,58142.0,21.71,15000,14499.3,60,16.02
RENT,credit_card,58000.0,5.43,4400,4118.46,36,18.45
RENT,credit_card,89206.0,5.8,9000,8589.85,36,13.58
RENT,debt_consolidation,30000.0,17.24,10000,9057.25,36,11.99
RENT,moving,30000.0,2.0,12000,11089.41,36,6.71
OWN,credit_card,115000.0,10.39,40000,34817.92,36,5.32
RENT,credit_card,50000.0,7.42,10000,9254.54,36,7.96
RENT,credit_card,60000.0,28.46,10000,9078.2,36,13.58
MORTGAGE,home_improvement,100000.0,9.08,30000,28810.83,60,9.43
MORTGAGE,debt_consolidation,150000.0,18.36,35000,32319.97,36,6.07
MORTGAGE,debt_consolidation,55000.0,44.56,25000,24087.28,60,12.62
RENT,other,44000.0,17.08,30000,28626.62,60,23.88
OWN,credit_card,65000.0,10.4,3000,2615.22,36,6.08
RENT,debt_consolidation,0.0,19.30819165998396,11000,10743.9,60,28.72
OWN,credit_card,51632.0,34.38,3500,3259.39,36,13.58
OWN,debt_consolidation,55000.0,10.87,5000,4648.17,36,11.98
OWN,debt_consolidation,120000.0,5.15,24775,23792.95,60,9.43
MORTGAGE,debt_consolidation,56000.0,10.12,9000,8069.14,36,5.31
MORTGAGE,medical,60000.0,12.7,2000,1775.9,36,16.02
RENT,debt_consolidation,30000.0,26.16,10000,9399.96,60,13.59
MORTGAGE,credit_card,53574.0,10.02,10000,9392.44,60,10.42
MORTGAGE,credit_card,105000.0,17.68,28000,26780.4,60,17.09
RENT,credit_card,35000.0,25.41,10000,9369.33,36,19.42
MORTGAGE,debt_consolidation,35000.0,37.14,12000,10460.98,36,6.08
OWN,credit_card,60000.0,5.96,15000,14293.08,60,14.08
OWN,debt_consolidation,18700.0,20.28,10000,8798.44,36,10.91
MORTGAGE,debt_consolidation,54996.0,4.12,10000,8782.01,36,9.93
OWN,debt_consolidation,78000.0,19.65,24000,23123.55,60,12.61
MORTGAGE,credit_card,70480.0,37.08,34000,32758.37,60,12.61
OWN,credit_card,20000.0,34.72,5000,0.0,36,6.72
MORTGAGE,credit_card,60000.0,6.9,10125,9517.47,60,13.59
MORTGAGE,other,89500.0,11.29,30000,28455.47,36,5.31
RENT,car,43000.0,10.49,10800,10418.76,60,24.85
MORTGAGE,credit_card,50000.0,30.82,15000,14452.22,60,12.61
OWN,debt_consolidation,20800.0,29.65,14450,13041.82,36,15.05
MORTGAGE,credit_card,64000.0,25.67,16000,15358.96,60,28.72
MORTGAGE,debt_consolidation,16000.0,10.13,10000,8925.78,36,19.03
MORTGAGE,other,100000.0,24.91,20000,17547.89,36,9.44
MORTGAGE,house,72000.0,17.6,8000,7469.36,36,16.02
RENT,debt_consolidation,152000.0,9.72,24000,22782.24,60,20.0
MORTGAGE,major_purchase,48996.0,14.18,15600,14663.99,60,13.59
RENT,debt_consolidation,98000.0,17.81,35000,33800.93,60,15.04
MORTGAGE,home_improvement,60000.0,23.58,4000,3631.32,36,13.59
RENT,credit_card,76000.0,18.88,16000,14436.82,36,9.44
MORTGAGE,other,120000.0,10.51,25000,23085.67,36,6.07
MORTGAGE,credit_card,110000.0,19.29,20000,19236.72,60,10.91
MORTGAGE,debt_consolidation,48000.0,57.83,18000,17235.88,60,18.06
MORTGAGE,debt_consolidation,85000.0,35.47,17000,15872.23,36,16.01
RENT,credit_card,82000.0,20.47,24000,22577.82,60,14.08
RENT,debt_consolidation,30000.0,14.58,2000,1782.19,36,18.06
MORTGAGE,medical,142000.0,14.02,3000,2717.18,36,11.99
RENT,credit_card,36000.0,5.07,30000,30000.0,36,19.03
OWN,debt_consolidation,42000.0,16.41,10000,9078.21,36,13.58
OWN,home_improvement,166400.0,13.15,40000,38629.65,60,15.04
RENT,credit_card,55200.0,27.61,19175,17719.96,36,6.71
OWN,home_improvement,72000.0,0.63,14000,13550.5,60,17.47
MORTGAGE,car,86000.0,2.96,6500,6006.74,36,6.71
MORTGAGE,debt_consolidation,65000.0,17.74,18000,16179.5,36,7.35
MORTGAGE,house,34000.0,3.42,1500,1355.43,36,10.42
OWN,car,95000.0,17.69,3500,0.0,36,6.08
MORTGAGE,other,109000.0,27.22,23000,21585.68,60,12.62
OWN,credit_card,14000.0,58.23,4000,3638.9,36,15.05
RENT,debt_consolidation,70000.0,27.23,15000,13012.12,36,7.35
MORTGAGE,debt_consolidation,77000.0,15.27,25000,22590.7,36,10.42
MORTGAGE,other,120000.0,21.4,5000,4492.76,36,6.72
OWN,debt_consolidation,11772.0,38.94,11625,11230.88,60,26.3
MORTGAGE,credit_card,98000.0,12.86,22500,20331.62,36,10.42
MORTGAGE,debt_consolidation,89000.0,11.77,15000,13839.02,36,5.31
MORTGAGE,debt_consolidation,109600.0,25.49,28000,26180.69,60,10.42
RENT,credit_card,68000.0,13.38,18000,16816.17,60,9.93
RENT,debt_consolidation,45000.0,13.04,18000,17120.2,60,21.45
MORTGAGE,other,42000.0,25.35,30000,27981.26,36,15.04
OWN,debt_consolidation,95000.0,19.86,20500,17986.55,36,9.44
MORTGAGE,credit_card,159000.0,18.5,18000,15822.16,36,10.42
OWN,major_purchase,46000.0,22.46,6000,5544.7,36,6.71
MORTGAGE,major_purchase,74000.0,19.82,21600,20454.21,60,9.44
MORTGAGE,credit_card,180000.0,25.56,15000,13173.04,36,9.93
RENT,debt_consolidation,105000.0,9.18,35000,31773.72,36,13.58
MORTGAGE,debt_consolidation,60000.0,10.4,8000,7453.95,36,14.07
RENT,debt_consolidation,52000.0,13.43,15000,13645.89,36,15.05
RENT,credit_card,85000.0,13.06,10500,9175.94,36,7.35
MORTGAGE,home_improvement,185220.0,12.83,20000,0.0,36,5.31
OWN,small_business,70000.0,0.0,2400,0.0,36,6.08
MORTGAGE,other,125000.0,4.39,16000,14774.84,36,6.07
MORTGAGE,debt_consolidation,42000.0,26.17,23000,21828.85,36,6.07
MORTGAGE,debt_consolidation,125000.0,12.28,40000,39068.19,60,14.07
RENT,debt_consolidation,27000.0,33.16,23000,21700.83,60,15.05
