homeownership,annual_income,debt_to_income,loan_purpose,loan_amount,balance,term,interest_rate
RENT,25000.0,11.14,debt_consolidation,5000,4648.17,36,11.98
MORTGAGE,65000.0,21.62,credit_card,9500,0.0,36,10.42
MORTGAGE,51000.0,33.6,debt_consolidation,15400,0.0,36,17.09
MORTGAGE,109600.0,25.49,debt_consolidation,28000,26180.69,60,10.42
RENT,54000.0,9.78,vacation,10000,0.0,36,14.08
OWN,60000.0,15.62,credit_card,6000,5742.18,36,17.47
MORTGAGE,150000.0,31.58,debt_consolidation,12175,10711.69,36,10.91
MORTGAGE,145000.0,6.75,debt_consolidation,35000,30465.71,36,5.32
RENT,10500.0,16.11,major_purchase,12500,12181.22,60,25.81
MORTGAGE,77000.0,37.58,debt_consolidation,40000,35396.59,36,14.08
MORTGAGE,45000.0,22.01,home_improvement,7000,6316.09,36,9.44
MORTGAGE,105000.0,17.33,home_improvement,16500,15222.94,36,5.31
OWN,95000.0,8.02,home_improvement,16000,15314.43,60,26.3
RENT,80000.0,20.11,medical,7750,7098.52,36,20.0
MORTGAGE,65000.0,29.36,debt_consolidation,30000,28052.31,36,17.47
RENT,104550.0,10.95,credit_card,10000,8704.47,36,5.32
RENT,90000.0,13.56,debt_consolidation,20000,18495.86,36,7.34
RENT,15600.0,36.32,credit_card,15000,14288.52,36,10.9
RENT,26000.0,1.15,medical,4800,4684.99,36,9.93
RENT,58000.0,10.28,other,10000,9275.24,36,9.93
MORTGAGE,56000.0,28.78,debt_consolidation,5000,4312.69,36,12.62
RENT,28865.0,13.01,vacation,2400,2118.18,36,12.62
RENT,80000.0,31.02,debt_consolidation,24000,21687.05,36,10.42
RENT,110000.0,9.75,other,15000,14636.73,60,12.61
RENT,50000.0,5.04,debt_consolidation,12800,11865.63,36,9.43
MORTGAGE,550000.0,7.0,home_improvement,40000,35863.52,36,5.32
MORTGAGE,75000.0,25.79,home_improvement,3600,3191.17,36,15.05
MORTGAGE,60000.0,19.28,credit_card,12000,10851.41,36,10.91
MORTGAGE,40000.0,37.8,debt_consolidation,10000,0.0,60,30.65
OWN,69000.0,23.2,debt_consolidation,10000,9421.91,60,15.05
MORTGAGE,77000.0,12.23,debt_consolidation,24000,21687.05,36,10.42
MORTGAGE,106000.0,18.67,home_improvement,5500,5106.9,36,10.9
MORTGAGE,95000.0,28.8,debt_consolidation,20000,17596.2,36,10.91
OWN,72000.0,27.07,credit_card,30000,29360.13,36,17.47
RENT,95000.0,4.35,major_purchase,4000,3594.21,36,6.72
MORTGAGE,82000.0,35.02,debt_consolidation,10000,8773.94,36,9.44
MORTGAGE,10000.0,144.3,home_improvement,40000,37369.27,60,9.93
MORTGAGE,14400.0,31.33,credit_card,2000,1821.91,36,16.02
MORTGAGE,25000.0,11.59,other,10000,9336.7,36,16.02
MORTGAGE,140000.0,19.91,debt_consolidation,24000,22991.68,60,18.45
OWN,95634.0,18.38,debt_consolidation,30000,29261.25,60,11.98
RENT,75000.0,9.89,debt_consolidation,15000,13564.27,36,10.91
MORTGAGE,80000.0,7.83,other,2400,1981.12,36,9.43
MORTGAGE,79700.0,20.28,other,3000,2624.82,36,7.97
RENT,40000.0,22.59,credit_card,15000,12988.25,36,9.44
MORTGAGE,450000.0,7.33,debt_consolidation,40000,36092.05,36,9.44
OWN,125000.0,2.22,debt_consolidation,15000,13851.4,36,6.07
RENT,45000.0,20.25,other,5000,4542.33,36,14.08
MORTGAGE,180000.0,9.31,credit_card,8500,7883.85,36,9.92
MORTGAGE,150000.0,13.25,debt_consolidation,16800,15628.67,36,12.61
MORTGAGE,65000.0,5.21,medical,30000,0.0,36,6.08
MORTGAGE,86500.0,25.17,credit_card,15000,14001.46,60,9.44
MORTGAGE,400000.0,5.73,major_purchase,20000,17651.64,36,12.62
MORTGAGE,75000.0,9.55,other,4800,0.0,36,9.92
RENT,120000.0,13.37,debt_consolidation,30000,27196.81,36,12.62
RENT,48000.0,28.08,debt_consolidation,18750,18190.25,60,30.79
RENT,80500.0,22.63,other,16000,15457.56,60,26.3
RENT,32000.0,27.19,debt_consolidation,17000,16041.55,60,16.02
RENT,114000.0,11.2,credit_card,27500,24757.94,36,7.97
MORTGAGE,40000.0,5.76,credit_card,5000,4395.02,36,10.42
MORTGAGE,12000.0,204.13,debt_consolidation,29000,26968.19,60,7.35
OWN,40000.0,30.93,credit_card,3600,3161.5,36,9.93
MORTGAGE,60000.0,11.96,debt_consolidation,7200,6693.38,36,11.98
MORTGAGE,110000.0,12.88,debt_consolidation,20000,18550.41,36,9.92
MORTGAGE,42000.0,28.54,debt_consolidation,14800,13850.02,60,10.91
RENT,79500.0,17.8,debt_consolidation,12000,11090.2,36,6.72
MORTGAGE,70000.0,16.97,credit_card,8500,7915.67,36,13.58
MORTGAGE,140000.0,17.18,debt_consolidation,24775,23776.49,60,20.0
RENT,111000.0,24.46,credit_card,25000,22485.76,36,7.35
OWN,44000.0,25.64,credit_card,12000,11229.72,60,10.91
MORTGAGE,69000.0,16.49,credit_card,25000,22607.14,36,10.91
MORTGAGE,15000.0,56.08,debt_consolidation,7775,7277.5,36,18.45
RENT,37000.0,23.86,credit_card,10000,8985.52,36,6.72
MORTGAGE,192000.0,11.11,other,24000,20948.06,36,6.72
MORTGAGE,62000.0,29.95,debt_consolidation,2600,2432.71,36,18.06
RENT,75000.0,12.81,credit_card,12000,11105.43,36,7.96
RENT,45000.0,46.29,credit_card,25050,24069.4,60,9.92
RENT,27000.0,15.91,other,5000,4521.35,36,10.9
MORTGAGE,45000.0,42.64,debt_consolidation,24000,22421.54,60,9.93
MORTGAGE,55000.0,44.56,debt_consolidation,25000,24087.28,60,12.62
RENT,101000.0,17.0,major_purchase,16000,14848.36,36,10.41
MORTGAGE,60000.0,30.92,debt_consolidation,21000,20188.39,60,10.42
RENT,80000.0,17.04,debt_consolidation,20000,17759.26,36,16.02
MORTGAGE,67000.0,1.56,car,9000,8343.01,36,9.43
OWN,115000.0,17.64,debt_consolidation,25000,23375.65,60,10.42
RENT,80000.0,18.86,debt_consolidation,20000,18156.66,36,13.59
OWN,60000.0,21.6,credit_card,12800,12041.49,60,14.08
OWN,70000.0,27.64,vacation,10000,9687.32,60,18.45
RENT,42000.0,14.6,credit_card,10000,9312.56,36,13.58
MORTGAGE,70000.0,21.98,major_purchase,1800,1566.81,36,9.43
OWN,28000.0,21.22,debt_consolidation,6000,5446.97,36,13.59
MORTGAGE,60000.0,19.01,credit_card,11700,10703.44,36,19.03
RENT,45000.0,8.29,credit_card,11000,0.0,36,12.61
MORTGAGE,87000.0,15.17,debt_consolidation,11000,10623.13,60,15.04
MORTGAGE,43000.0,22.55,credit_card,10000,0.0,36,9.44
MORTGAGE,80000.0,29.21,car,11000,10569.39,60,9.92
OWN,140000.0,24.34,debt_consolidation,40000,34869.96,36,6.08
RENT,40000.0,40.38,medical,8000,7387.42,36,6.07
MORTGAGE,50000.0,28.49,credit_card,28000,26264.2,60,13.59
MORTGAGE,85000.0,33.19,credit_card,35000,32537.32,36,11.98
RENT,100000.0,10.31,debt_consolidation,40000,39031.28,60,12.61
OWN,105000.0,22.1,debt_consolidation,24000,23438.41,60,28.72
RENT,47500.0,32.88,debt_consolidation,9800,0.0,36,9.44
RENT,55000.0,25.14,debt_consolidation,20000,18246.48,36,17.09
OWN,45000.0,9.68,home_improvement,8000,6973.97,36,6.08
MORTGAGE,65000.0,33.44,home_improvement,35000,31931.37,36,17.09
RENT,69108.0,17.36,credit_card,10000,8339.05,36,7.97
RENT,35000.0,21.5,other,6500,6042.62,36,11.98
RENT,60000.0,12.22,credit_card,36000,34763.07,60,25.82
MORTGAGE,24000.0,8.2,debt_consolidation,2700,2425.5,36,22.91
OWN,70000.0,25.01,debt_consolidation,40000,37798.9,60,7.97
MORTGAGE,60000.0,13.91,debt_consolidation,12600,0.0,36,5.32
MORTGAGE,250000.0,10.41,major_purchase,8000,7495.47,36,19.42
RENT,88000.0,10.88,other,6000,5713.32,36,10.41
MORTGAGE,65000.0,24.02,home_improvement,22000,20625.54,60,11.99
MORTGAGE,98000.0,7.58,major_purchase,10000,8825.79,36,12.62
MORTGAGE,300000.0,3.66,credit_card,31200,29565.21,60,9.93
RENT,48000.0,12.13,credit_card,5000,4482.92,36,5.32
RENT,15000.0,21.04,debt_consolidation,3000,2788.9,36,11.98
OWN,52000.0,20.75,debt_consolidation,20000,18957.54,60,19.03
MORTGAGE,140000.0,26.82,home_improvement,24000,23177.77,60,15.04
MORTGAGE,40000.0,22.38,medical,10000,9032.07,36,6.07
OWN,18700.0,20.28,debt_consolidation,10000,8798.44,36,10.91
MORTGAGE,36000.0,21.43,car,5000,4412.9,36,12.62
RENT,70000.0,32.85,debt_consolidation,36000,35128.14,60,12.61
OWN,7200.0,0.0,debt_consolidation,5750,5392.58,36,20.39
MORTGAGE,28000.0,43.38,credit_card,30000,29336.68,60,16.01
MORTGAGE,75000.0,12.45,home_improvement,5000,4648.17,36,11.98
RENT,92000.0,25.3,debt_consolidation,16000,15217.94,60,21.45
MORTGAGE,72000.0,24.86,debt_consolidation,40000,38075.03,36,9.92
RENT,55000.0,19.16,debt_consolidation,7000,6153.03,36,10.42
MORTGAGE,65000.0,47.67,debt_consolidation,30000,28500.44,36,7.34
OWN,39000.0,16.03,credit_card,11200,10668.76,36,10.9
MORTGAGE,40000.0,7.2,debt_consolidation,15000,14518.41,60,17.47
MORTGAGE,74000.0,29.44,debt_consolidation,15000,13692.04,36,17.47
RENT,36000.0,7.97,credit_card,6800,6325.87,36,12.61
MORTGAGE,70000.0,38.54,debt_consolidation,28000,26136.04,60,9.44
RENT,39000.0,27.42,debt_consolidation,3000,2712.85,36,10.91
MORTGAGE,140000.0,10.77,debt_consolidation,5000,4488.26,36,6.08
RENT,87000.0,13.44,debt_consolidation,8000,7392.94,36,6.71
MORTGAGE,70000.0,2.09,debt_consolidation,15000,13839.02,36,5.31
RENT,90000.0,18.87,major_purchase,30000,29310.05,36,12.61
RENT,45000.0,18.29,debt_consolidation,8000,7052.52,36,11.99
MORTGAGE,160000.0,13.68,home_improvement,20000,17456.72,36,6.72
MORTGAGE,150000.0,13.89,debt_consolidation,10000,9408.15,36,12.62
MORTGAGE,56000.0,25.7,home_improvement,14000,0.0,36,9.44
OWN,200000.0,10.82,major_purchase,35000,31510.1,36,7.97
MORTGAGE,39000.0,13.29,debt_consolidation,5000,3647.52,36,6.08
MORTGAGE,299520.0,17.98,home_improvement,15000,13881.81,36,7.96
RENT,45000.0,18.24,credit_card,10000,9241.17,36,6.71
OWN,96774.0,0.04,major_purchase,20000,7386.91,36,9.44
RENT,64000.0,8.15,debt_consolidation,10000,9023.01,36,9.44
OWN,30564.0,11.44,debt_consolidation,8000,7461.67,36,15.04
OWN,30000.0,20.72,credit_card,15000,13598.4,36,12.62
RENT,93000.0,24.61,credit_card,25000,22039.18,36,11.99
MORTGAGE,32000.0,18.75,debt_consolidation,18550,17861.39,60,11.98
RENT,67500.0,4.71,credit_card,14000,13390.17,60,10.41
MORTGAGE,220000.0,15.97,home_improvement,21000,18329.56,36,6.72
MORTGAGE,245000.0,4.56,house,7200,6228.57,36,5.31
RENT,44000.0,9.71,debt_consolidation,13000,11681.17,36,6.72
MORTGAGE,98000.0,31.73,credit_card,29400,0.0,60,24.85
MORTGAGE,83000.0,22.66,credit_card,12000,0.0,60,14.08
MORTGAGE,40000.0,14.28,debt_consolidation,9600,8871.53,36,6.71
MORTGAGE,81000.0,19.73,debt_consolidation,25000,22574.15,36,9.93
MORTGAGE,0.0,,debt_consolidation,25000,22463.84,36,6.72
OWN,55412.0,31.03,debt_consolidation,5000,4588.47,36,21.45
RENT,76000.0,17.79,other,4300,3795.1,36,12.62
RENT,70000.0,9.72,house,20000,17953.16,36,6.08
MORTGAGE,349000.0,5.19,debt_consolidation,16000,14635.95,36,19.03
RENT,69000.0,11.83,vacation,10000,9270.14,36,9.44
RENT,45384.0,3.41,debt_consolidation,10000,9530.52,60,22.91
OWN,160000.0,18.25,credit_card,36000,33828.12,60,11.98
RENT,43000.0,5.19,other,23200,22064.71,60,12.62
RENT,60000.0,19.52,credit_card,12000,11142.36,36,10.9
OWN,66000.0,39.57,debt_consolidation,15000,14395.45,60,20.0
MORTGAGE,0.0,,debt_consolidation,5000,4663.53,36,15.04
MORTGAGE,70000.0,31.92,debt_consolidation,17650,16938.64,60,20.0
MORTGAGE,34000.0,20.97,debt_consolidation,7200,6334.61,36,10.91
OWN,126000.0,17.88,credit_card,20000,18509.07,36,7.96
MORTGAGE,125000.0,13.01,debt_consolidation,35000,33221.93,60,20.0
RENT,43000.0,17.14,credit_card,6000,5268.71,36,9.92
MORTGAGE,110000.0,19.29,credit_card,20000,19236.72,60,10.91
RENT,28000.0,4.71,debt_consolidation,21000,20656.44,60,26.77
MORTGAGE,79000.0,25.49,credit_card,25000,23462.69,60,12.62
MORTGAGE,100000.0,23.82,debt_consolidation,26000,23385.18,36,7.35
RENT,127000.0,9.12,major_purchase,35000,33396.01,60,15.05
MORTGAGE,75000.0,2.42,debt_consolidation,20000,19430.21,60,21.85
RENT,25000.0,8.83,debt_consolidation,4200,3795.21,36,10.42
MORTGAGE,75000.0,7.04,other,10000,8717.45,36,6.08
MORTGAGE,40000.0,16.38,debt_consolidation,8000,7420.11,36,9.92
RENT,47476.0,19.03,debt_consolidation,10000,8994.29,36,7.35
RENT,48769.0,11.07,debt_consolidation,4800,4404.92,36,21.45
MORTGAGE,52000.0,2.71,home_improvement,5500,5104.1,36,10.41
MORTGAGE,110000.0,17.5,credit_card,28000,27262.98,60,9.43
MORTGAGE,34000.0,13.2,debt_consolidation,12000,10557.71,36,10.91
MORTGAGE,100000.0,32.32,debt_consolidation,20000,18495.86,36,7.34
OWN,75000.0,10.61,house,9000,8806.9,36,17.09
MORTGAGE,60000.0,30.6,credit_card,16000,0.0,36,16.02
MORTGAGE,110000.0,12.67,debt_consolidation,15000,14025.37,60,10.42
RENT,35000.0,23.15,debt_consolidation,5000,4627.27,36,7.96
RENT,44000.0,23.51,credit_card,10500,9452.88,36,7.96
MORTGAGE,44000.0,0.0,house,10000,8704.48,36,5.32
MORTGAGE,92600.0,18.81,debt_consolidation,40000,34204.56,36,10.91
MORTGAGE,46996.0,15.04,debt_consolidation,19350,17058.3,36,11.99
MORTGAGE,70000.0,20.44,debt_consolidation,40000,34956.09,36,7.35
OWN,156000.0,27.61,other,25000,22507.19,36,7.97
MORTGAGE,150000.0,17.37,credit_card,35000,33289.3,60,21.45
MORTGAGE,76500.0,27.48,debt_consolidation,35000,33961.99,60,20.39
MORTGAGE,50000.0,32.48,debt_consolidation,8000,7398.42,36,7.35
MORTGAGE,105000.0,23.47,major_purchase,28000,18432.5,36,7.97
MORTGAGE,110000.0,5.48,debt_consolidation,5000,4637.57,36,9.92
OWN,50000.0,23.33,credit_card,14000,13420.87,60,19.03
MORTGAGE,80000.0,15.96,debt_consolidation,12000,10590.97,36,12.62
RENT,82000.0,9.88,debt_consolidation,10000,9129.88,36,16.01
MORTGAGE,40000.0,21.42,credit_card,6500,5730.14,36,11.99
RENT,65000.0,24.45,moving,5000,4548.63,36,15.05
MORTGAGE,125000.0,6.15,major_purchase,35000,33905.61,60,18.45
OWN,30000.0,24.52,other,2000,0.0,36,19.42
MORTGAGE,40000.0,29.67,vacation,6500,0.0,36,15.05
RENT,60000.0,22.28,debt_consolidation,5000,4399.01,36,10.91
MORTGAGE,99000.0,15.35,credit_card,10000,9226.01,36,5.31
MORTGAGE,80000.0,10.23,credit_card,10000,9247.92,36,7.34
MORTGAGE,52000.0,12.81,other,7000,6489.0,36,9.43
MORTGAGE,90000.0,18.65,debt_consolidation,24000,23070.05,60,21.45
OWN,33000.0,27.16,other,12800,12004.36,36,20.39
RENT,125000.0,22.99,debt_consolidation,35000,30854.83,36,11.99
MORTGAGE,150000.0,21.91,debt_consolidation,28000,27272.3,60,9.92
OWN,60000.0,27.52,debt_consolidation,11200,10616.24,60,19.03
MORTGAGE,110000.0,12.91,house,35000,0.0,60,21.45
MORTGAGE,110000.0,19.55,debt_consolidation,30000,28678.72,36,18.45
MORTGAGE,42000.0,7.54,debt_consolidation,24000,23178.69,60,15.04
MORTGAGE,275000.0,4.57,credit_card,12000,10557.71,36,10.91
MORTGAGE,124000.0,18.81,debt_consolidation,40000,37185.49,36,11.98
OWN,60000.0,18.74,house,10000,8704.48,36,5.32
MORTGAGE,52000.0,25.99,debt_consolidation,12000,11201.13,60,9.44
OWN,44000.0,38.24,other,14000,13091.09,36,17.47
OWN,68000.0,17.15,debt_consolidation,5000,4369.5,36,7.35
MORTGAGE,60100.0,20.51,other,3150,2835.89,36,7.97
OWN,71000.0,10.29,debt_consolidation,14000,12735.99,36,15.04
OWN,93000.0,9.59,debt_consolidation,18200,17298.49,36,7.96
MORTGAGE,65000.0,8.07,home_improvement,30000,29652.7,60,14.08
RENT,84000.0,15.3,debt_consolidation,25000,23281.4,36,13.58
OWN,72000.0,27.03,small_business,30000,27369.75,36,17.09
MORTGAGE,70000.0,24.55,other,2500,2329.36,36,14.07
OWN,43188.48,6.67,other,3000,2644.82,36,13.59
OWN,42000.0,20.54,home_improvement,20000,19287.91,60,13.58
MORTGAGE,90000.0,7.8,debt_consolidation,5000,4425.39,36,11.99
MORTGAGE,130500.0,29.63,debt_consolidation,25000,23938.7,60,18.06
OWN,32000.0,18.11,debt_consolidation,12000,10835.9,36,9.92
MORTGAGE,80000.0,13.89,home_improvement,11000,10474.99,60,13.59
OWN,60000.0,19.34,debt_consolidation,15000,13092.56,36,6.72
RENT,30000.0,26.12,debt_consolidation,5700,5146.89,36,9.93
RENT,172000.0,4.35,debt_consolidation,15000,14702.72,60,20.0
MORTGAGE,68000.0,32.51,other,3000,2615.22,36,6.08
MORTGAGE,55000.0,22.67,debt_consolidation,4200,3899.81,36,10.9
RENT,54000.0,25.14,debt_consolidation,15000,14233.06,60,10.9
MORTGAGE,135000.0,0.0,debt_consolidation,24000,22958.93,60,9.92
MORTGAGE,60000.0,24.7,car,12500,11875.19,36,7.34
MORTGAGE,155000.0,31.94,debt_consolidation,10000,8790.08,36,10.42
RENT,49000.0,10.85,debt_consolidation,36000,34798.06,60,16.01
OWN,42000.0,10.2,house,20000,19314.82,60,15.04
MORTGAGE,100500.0,20.68,credit_card,40000,38354.23,60,7.96
MORTGAGE,138000.0,21.15,moving,28000,26769.9,36,16.01
MORTGAGE,53000.0,35.53,debt_consolidation,13200,12657.63,36,20.39
RENT,65000.0,18.71,debt_consolidation,20000,18085.7,36,10.91
RENT,39910.0,20.66,debt_consolidation,10000,9057.25,36,11.99
MORTGAGE,125000.0,19.62,major_purchase,20000,19128.86,60,17.09
RENT,116480.0,13.74,credit_card,10000,8790.09,36,10.42
MORTGAGE,183000.0,18.71,debt_consolidation,7200,6469.57,36,6.72
OWN,31500.0,19.09,credit_card,2600,2410.18,36,9.43
MORTGAGE,125000.0,27.94,debt_consolidation,24000,21182.0,36,12.62
MORTGAGE,70000.0,23.8,debt_consolidation,15800,15318.8,60,19.42
RENT,175000.0,6.62,medical,28000,27138.18,60,19.03
MORTGAGE,25000.0,28.42,other,3025,2731.47,36,9.93
MORTGAGE,81120.0,18.05,debt_consolidation,16000,14616.64,36,18.06
MORTGAGE,53038.52,8.92,debt_consolidation,20000,17842.53,36,14.08
MORTGAGE,75000.0,22.54,credit_card,8500,7849.13,36,6.07
RENT,18348.0,24.07,other,2000,1758.02,36,10.42
OWN,91200.0,35.32,debt_consolidation,30000,28566.69,36,10.41
OWN,21432.0,7.17,other,4375,4060.13,36,10.42
MORTGAGE,109000.0,31.06,debt_consolidation,15000,11026.51,36,5.32
RENT,85000.0,34.8,medical,4000,3643.87,36,16.02
RENT,44500.0,19.85,debt_consolidation,17000,16314.84,60,20.0
RENT,53246.0,43.14,credit_card,4800,4396.49,36,20.0
MORTGAGE,113409.0,19.92,small_business,16000,14458.03,36,10.42
MORTGAGE,140000.0,13.78,other,32000,29157.04,36,16.02
OWN,110000.0,5.67,home_improvement,40000,38986.67,60,10.9
MORTGAGE,139000.0,28.04,major_purchase,16000,15512.72,60,19.42
RENT,40000.0,5.04,debt_consolidation,5000,4651.37,36,12.61
MORTGAGE,300000.0,14.61,debt_consolidation,24000,22421.54,60,9.93
RENT,102000.0,17.28,credit_card,10000,8896.19,36,17.09
RENT,81000.0,10.82,debt_consolidation,14000,13414.93,60,7.34
OWN,96000.0,16.04,debt_consolidation,30000,28693.29,60,17.09
MORTGAGE,29000.0,25.21,debt_consolidation,40000,39115.84,60,30.79
RENT,30000.0,7.96,debt_consolidation,5600,5322.6,36,7.96
OWN,25000.0,36.87,credit_card,5000,4766.61,36,11.98
OWN,31000.0,25.01,debt_consolidation,16000,15465.8,60,16.01
RENT,32112.0,18.61,debt_consolidation,14000,13014.92,36,11.98
RENT,65000.0,8.47,debt_consolidation,25375,23814.63,60,12.62
RENT,44865.0,11.21,debt_consolidation,12000,11448.37,60,15.04
RENT,65000.0,26.88,debt_consolidation,14000,12908.48,36,11.98
MORTGAGE,53700.0,28.56,other,2500,2373.87,36,6.71
RENT,65000.0,20.62,credit_card,15000,14465.94,60,13.58
OWN,80000.0,18.67,home_improvement,25000,23738.83,36,6.71
RENT,25356.0,18.6,debt_consolidation,14000,13633.08,60,24.84
RENT,48000.0,12.78,other,4000,3609.21,36,9.44
RENT,85000.0,16.14,debt_consolidation,30000,28912.22,60,23.88
RENT,55000.0,35.78,debt_consolidation,25000,23998.35,60,28.72
MORTGAGE,140000.0,21.48,other,12000,11238.77,36,19.03
MORTGAGE,210000.0,13.67,debt_consolidation,28000,0.0,60,17.47
MORTGAGE,43611.0,21.96,credit_card,20000,18570.6,36,10.9
MORTGAGE,240000.0,19.53,home_improvement,15000,13448.6,36,5.31
RENT,50000.0,17.31,debt_consolidation,10000,9036.27,36,10.42
MORTGAGE,128000.0,16.74,other,6000,5544.76,36,6.72
MORTGAGE,50000.0,30.96,debt_consolidation,12000,11155.65,36,11.98
RENT,58000.0,35.36,moving,3800,3452.12,36,14.07
OWN,100000.0,22.06,debt_consolidation,7500,6935.94,36,7.34
RENT,55000.0,5.78,credit_card,6000,5577.82,36,11.98
OWN,100000.0,13.73,debt_consolidation,28525,25563.99,36,21.45
MORTGAGE,43000.0,11.11,debt_consolidation,6400,0.0,36,14.07
RENT,40320.0,25.8,medical,8400,7370.07,36,9.44
RENT,30000.0,15.2,other,10000,8773.94,36,9.44
OWN,63235.0,10.32,debt_consolidation,10000,8985.4,36,6.71
RENT,120000.0,12.57,debt_consolidation,22225,0.0,36,9.43
RENT,30000.0,22.0,debt_consolidation,15000,13319.42,36,16.02
RENT,52000.0,12.65,debt_consolidation,8250,7623.96,36,6.71
MORTGAGE,33000.0,14.59,credit_card,1000,849.79,36,10.91
RENT,50000.0,25.88,debt_consolidation,10800,10222.53,60,18.06
MORTGAGE,45000.0,16.56,other,8000,7128.82,36,18.06
MORTGAGE,90000.0,16.0,other,3500,3255.95,36,12.61
MORTGAGE,55000.0,18.68,credit_card,15000,13861.74,36,6.71
MORTGAGE,27610.0,18.57,debt_consolidation,6100,5755.81,36,26.77
RENT,54000.0,28.24,debt_consolidation,19000,18347.17,60,25.82
OWN,75000.0,36.96,debt_consolidation,18000,16303.06,36,11.99
MORTGAGE,120000.0,7.86,home_improvement,1200,1142.24,36,9.92
MORTGAGE,24000.0,19.09,debt_consolidation,4700,4218.97,36,6.08
RENT,55213.0,24.69,credit_card,9000,8385.93,36,14.07
MORTGAGE,100000.0,13.33,other,35000,30708.78,36,9.44
MORTGAGE,72000.0,17.18,credit_card,25000,22463.84,36,6.72
RENT,126000.0,23.24,credit_card,20000,17478.04,36,7.35
OWN,61000.0,10.58,home_improvement,6000,5587.52,36,13.58
RENT,30000.0,16.16,debt_consolidation,15000,14418.7,60,21.45
RENT,60000.0,21.46,credit_card,6000,5565.08,36,9.92
MORTGAGE,95000.0,14.74,debt_consolidation,30000,28568.14,60,13.59
MORTGAGE,93300.0,21.63,credit_card,19200,18752.73,60,14.07
RENT,48000.0,11.18,debt_consolidation,14000,13660.94,60,12.61
MORTGAGE,110000.0,22.52,debt_consolidation,22000,19149.86,36,5.32
RENT,50400.0,25.14,credit_card,10000,9436.2,60,16.02
MORTGAGE,65000.0,10.57,other,40000,37878.15,60,9.44
MORTGAGE,120000.0,16.72,debt_consolidation,21000,19950.32,36,7.34
MORTGAGE,31304.0,85.01,debt_consolidation,34800,32295.24,36,10.41
MORTGAGE,31000.0,15.95,small_business,35500,34983.52,60,30.79
MORTGAGE,55000.0,14.79,credit_card,6000,5278.86,36,10.91
MORTGAGE,47028.0,17.62,major_purchase,1500,1347.81,36,6.72
RENT,39053.0,22.86,credit_card,5200,4584.15,36,11.99
RENT,93000.0,19.58,debt_consolidation,15500,14933.96,60,12.61
OWN,37000.0,4.25,debt_consolidation,10000,8985.52,36,6.72
MORTGAGE,56000.0,1.61,debt_consolidation,21000,19406.48,36,6.71
RENT,82000.0,31.32,debt_consolidation,12000,11588.87,60,15.04
RENT,22000.0,21.28,credit_card,6000,5596.25,36,15.04
RENT,40000.0,21.42,home_improvement,25600,24083.03,60,14.08
OWN,44600.0,31.03,debt_consolidation,14500,13682.49,60,16.02
RENT,33000.0,6.04,debt_consolidation,6000,1483.12,36,7.97
MORTGAGE,42000.0,7.95,debt_consolidation,13600,13134.08,60,15.04
MORTGAGE,70000.0,17.81,debt_consolidation,32000,29680.81,36,9.93
MORTGAGE,56000.0,12.28,home_improvement,14000,13266.44,60,9.93
RENT,68810.0,14.88,house,15575,14996.83,60,11.98
RENT,69077.0,23.04,debt_consolidation,40000,35095.78,36,9.44
MORTGAGE,58000.0,29.26,other,1000,878.18,36,9.93
RENT,52000.0,27.44,moving,8000,7327.51,36,20.0
RENT,75000.0,21.36,debt_consolidation,26000,22920.74,36,11.99
MORTGAGE,120000.0,7.5,major_purchase,18000,16138.59,36,5.32
RENT,80000.0,10.08,home_improvement,20000,18952.04,60,9.93
OWN,160000.0,11.37,house,10000,9057.13,36,11.98
RENT,33195.0,47.71,debt_consolidation,23000,21601.42,36,21.85
RENT,139200.0,20.53,debt_consolidation,10000,9317.45,36,14.07
OWN,25000.0,26.79,debt_consolidation,9000,8086.84,36,6.71
MORTGAGE,130000.0,24.3,credit_card,40000,35192.46,36,10.91
RENT,40000.0,15.24,debt_consolidation,16000,15465.79,60,16.01
RENT,43000.0,0.7,major_purchase,16000,14807.25,36,7.96
RENT,104000.0,33.84,debt_consolidation,28000,26075.44,36,13.59
MORTGAGE,142500.0,7.19,debt_consolidation,25000,23722.11,60,10.91
MORTGAGE,145000.0,23.26,house,35000,0.0,60,17.47
OWN,50000.0,24.2,other,12000,10548.1,36,10.42
RENT,56000.0,15.63,credit_card,5000,4352.21,36,5.32
MORTGAGE,53000.0,7.7,house,13000,11360.72,36,7.35
OWN,104000.0,8.0,debt_consolidation,35000,0.0,36,15.04
RENT,76000.0,11.45,debt_consolidation,8000,6939.85,36,6.71
OWN,56000.0,23.96,debt_consolidation,30000,29509.18,60,26.77
RENT,90000.0,15.27,debt_consolidation,36000,33268.25,36,6.71
MORTGAGE,110000.0,6.79,credit_card,15000,13851.4,36,6.07
RENT,128500.0,20.57,debt_consolidation,24000,21565.28,36,6.72
RENT,33800.0,16.66,credit_card,5000,1332.5,36,17.47
MORTGAGE,190000.0,7.57,debt_consolidation,10500,9139.69,36,5.32
MORTGAGE,35000.0,18.96,credit_card,10000,9097.26,36,15.05
RENT,34000.0,14.05,debt_consolidation,20000,19202.37,60,20.39
RENT,37000.0,17.69,debt_consolidation,26400,25108.12,60,12.62
RENT,54800.0,25.05,moving,6000,5565.08,36,9.92
MORTGAGE,92000.0,16.51,car,12000,11081.12,36,6.07
